k,Zeta(4),Error,Exact_Value
1,1.000000000000000,0.082323233711138,1.082323233711138
2,0.937500000000000,0.144823233711138,1.082323233711138
3,1.074845679012346,0.007477554698792,1.082323233711138
4,1.046248070987654,0.036075162723484,1.082323233711138
5,1.080351929012346,0.001971304698792,1.082323233711138
6,1.068567824074074,0.013755409637064,1.082323233711138
7,1.081540027078481,0.000783206632657,1.082323233711138
8,1.075719690321211,0.006603543389927,1.082323233711138
9,1.081936583493757,0.000386650217381,1.082323233711138
10,1.078667274530935,0.003655959180203,1.082323233711138
11,1.082104884839293,0.000218348871845,1.082323233711138
12,1.080093957753300,0.002229275957838,1.082323233711138
13,1.082188122927600,0.000135110783538,1.082323233711138
14,1.080865900408870,0.001457333302268,1.082323233711138
15,1.082233906834511,0.000089326876627,1.082323233711138
16,1.081319169783388,0.001004063927750,1.082323233711138
17,1.082261138660294,0.000062095050843,1.082323233711138
18,1.081602502340326,0.000720731370812,1.082323233711138
19,1.082278338007582,0.000044895703556,1.082323233711138
20,1.081788578979932,0.000534654731206,1.082323233711138
21,1.082289729898049,0.000033503813089,1.082323233711138
22,1.081915770946441,0.000407462764697,1.082323233711138
23,1.082297572189930,0.000025661521208,1.082323233711138
24,1.082005634024150,0.000317599686988,1.082323233711138
25,1.082303146271720,0.000020087439418,1.082323233711138
26,1.082070911284750,0.000252322426388,1.082323233711138
27,1.082307216246872,0.000016017464266,1.082323233711138
28,1.082119464323029,0.000203769388109,1.082323233711138
29,1.082310257038363,0.000012976672775,1.082323233711138
30,1.082156322062757,0.000166911648381,1.082323233711138
31,1.082312574418675,0.000010659292463,1.082323233711138
32,1.082184803154155,0.000138430556983,1.082323233711138
33,1.082314371319480,0.000008862391658,1.082323233711138
34,1.082207157686315,0.000116076024823,1.082323233711138
35,1.082315786023279,0.000007447687859,1.082323233711138
36,1.082224947896913,0.000098285814225,1.082323233711138
37,1.082316914969549,0.000006318741589,1.082323233711138
38,1.082239281460589,0.000083952250549,1.082323233711138
39,1.082317826811113,0.000005406900025,1.082323233711138
40,1.082250958579050,0.000072275132088,1.082323233711138
41,1.082318571323083,0.000004662388055,1.082323233711138
42,1.082260567104860,0.000062666606278,1.082323233711138
43,1.082319185191445,0.000004048519693,1.082323233711138
44,1.082268545470714,0.000054688240424,1.082323233711138
45,1.082319695858840,0.000003537852298,1.082323233711138
46,1.082275225179908,0.000048008531230,1.082323233711138
47,1.082320124131381,0.000003109579757,1.082323233711138
48,1.082280860031948,0.000042373679190,1.082323233711138
49,1.082320485978018,0.000002747733120,1.082323233711138
50,1.082285646565422,0.000037587145716,1.082323233711138
51,1.082320793793286,0.000002439917852,1.082323233711138
52,1.082289738578941,0.000033495132197,1.082323233711138
53,1.082321057296943,0.000002176414195,1.082323233711138
54,1.082293257592025,0.000029976119113,1.082323233711138
55,1.082321284183872,0.000001949527266,1.082323233711138
56,1.082296300479541,0.000026933231597,1.082323233711138
57,1.082321480599609,0.000001753111529,1.082323233711138
58,1.082298945110542,0.000024288600596,1.082323233711138
59,1.082321651492405,0.000001582218733,1.082323233711138
60,1.082301254559631,0.000021979151507,1.082323233711138
61,1.082321800876753,0.000001432834385,1.082323233711138
62,1.082303280284822,0.000019953426316,1.082323233711138
63,1.082321932032658,0.000001301678480,1.082323233711138
64,1.082305064548681,0.000018169162457,1.082323233711138
65,1.082322047657750,0.000001186053388,1.082323233711138
66,1.082306642279554,0.000016591431584,1.082323233711138
67,1.082322149984436,0.000001083726702,1.082323233711138
68,1.082308042514439,0.000015191196699,1.082323233711138
69,1.082322240870873,0.000000992840264,1.082323233711138
70,1.082309289526373,0.000013944184765,1.082323233711138
71,1.082322321872168,0.000000911838970,1.082323233711138
72,1.082310403711866,0.000012829999272,1.082323233711138
73,1.082322394296503,0.000000839414635,1.082323233711138
74,1.082311402294340,0.000011831416798,1.082323233711138
75,1.082322459249696,0.000000774461442,1.082323233711138
76,1.082312299885387,0.000010933825751,1.082323233711138
77,1.082322517670801,0.000000716040337,1.082323233711138
78,1.082313108935391,0.000010124775747,1.082323233711138
79,1.082322570360723,0.000000663350415,1.082323233711138
80,1.082313840097440,0.000009393613698,1.082323233711138
81,1.082322618005358,0.000000615705780,1.082323233711138
82,1.082314502522873,0.000008731188265,1.082323233711138
83,1.082322661194414,0.000000572516724,1.082323233711138
84,1.082315104102551,0.000008129608587,1.082323233711138
85,1.082322700436783,0.000000533274355,1.082323233711138
86,1.082315651664844,0.000007582046294,1.082323233711138
87,1.082322736173172,0.000000497537966,1.082323233711138
88,1.082316151138846,0.000007082572292,1.082323233711138
89,1.082322768786531,0.000000464924607,1.082323233711138
90,1.082316607689570,0.000006626021568,1.082323233711138
91,1.082322798610692,0.000000435100446,1.082323233711138
92,1.082317025830392,0.000006207880746,1.082323233711138
93,1.082322825937566,0.000000407773572,1.082323233711138
94,1.082317409516981,0.000005824194157,1.082323233711138
95,1.082322851023157,0.000000382687981,1.082323233711138
96,1.082317762226072,0.000005471485066,1.082323233711138
97,1.082322874092611,0.000000359618527,1.082323233711138
98,1.082318087021767,0.000005146689371,1.082323233711138
99,1.082322895344473,0.000000338366665,1.082323233711138
100,1.082318386611564,0.000004847099574,1.082323233711138
